CustomerID,Age,Gender,Tenure_Months,Contract_Type,Monthly_Charges,Data_Usage_GB,Payment_Method,Customer_Service_Calls,Churn
0,65,Male,34,Month-to-month,99.96,77,Electronic check,0,0
1,20,Male,40,One year,72.7,35,Bank transfer (automatic),0,0
2,45,Female,5,One year,64.34,60,Bank transfer (automatic),5,1
3,,Female,42,One year,69.78,52,Electronic check,2,0
4,81,Male,52,Month-to-month,49.35,127,Electronic check,0,0
5,28,Male,71,Month-to-month,48.09,86,Bank transfer (automatic),0,0
6,60,Male,27,Month-to-month,31.05,89,Credit card (automatic),0,0
7,45,Female,72,One year,35.41,101,Bank transfer (automatic),0,0
8,45,Female,12,Two year,101.48,119,,0,1
9,75,Female,57,Month-to-month,66.96,78,Electronic check,0,0
10,42,Male,46,Month-to-month,92.81,93,Bank transfer (automatic),1,0
11,51,Female,19,Month-to-month,68.19,21,Credit card (automatic),1,1
12,39,Female,48,One year,85.81,35,Credit card (automatic),,0
13,18,Female,20,Two year,57.44,42,Credit card (automatic),3,0
14,32,Male,41,Two year,76.07,59,Bank transfer (automatic),2,1
15,35,Female,26,Two year,,99,Bank transfer (automatic),0,0
16,44,Male,37,Two year,67.93,8,Electronic check,2,0
17,52,Female,,One year,56.43,86,Electronic check,0,0
18,56,Female,33,Month-to-month,57.46,47,Bank transfer (automatic),4,0
19,35,Female,53,One year,40.42,64,Electronic check,1,0
20,63,Non-binary,50,Two year,,104,Credit card (automatic),2,0
21,46,Female,35,Month-to-month,79.27,93,Bank transfer (automatic),1,1
22,43,Male,-1,Two year,82.91,42,Bank transfer (automatic),0,0
23,18,Female,39,Two year,71.07,86,Electronic check,,0
24,43,Male,31,Month-to-month,119.85,79,Electronic check,2,1
25,64,Male,41,Two year,49.93,58,Credit card (automatic),0,0
26,29,Female,36,Month-to-month,22.97,82,Bank transfer (automatic),18,1
27,47,Female,15,Two year,65.67,114,Electronic check,2,0
28,46,Female,47,Month-to-month,81.78,69,Electronic check,2,0
29,47,Female,16,One year,,70,Credit card (automatic),2,0
30,34,Male,39,Two year,82.39,93,Credit card (automatic),2,1
31,71,Male,17,Two year,77.19,117,Credit card (automatic),1,0
32,28,Male,28,,55.07,,Electronic check,1,0
33,22,Male,43,Month-to-month,50.06,22,Electronic check,4,1
34,32,Male,39,One year,81.22,112,Credit card (automatic),1,0
35,56,Male,52,One year,70.57,73,Electronic check,0,0
36,46,Non-binary,18,Two year,83.99,100,Credit card (automatic),3,1
37,22,Female,49,Month-to-month,35.38,,Credit card (automatic),1,0
38,20,Female,34,Month-to-month,,73,Bank transfer (automatic),1,1
39,51,Male,31,One year,120.23,122,Credit card (automatic),0,1
40,56,Female,30,One year,42.15,81,Bank transfer (automatic),,0
41,47,Female,46,One year,67.91,106,Credit card (automatic),4,0
42,51,Female,23,One year,52.94,103,Mailed check,2,0
43,54,Female,,Month-to-month,75.44,110,Credit card (automatic),1,0
44,53,Male,22,Month-to-month,100.89,66,Bank transfer (automatic),5,1
45,,Female,23,Month-to-month,36.59,35,Bank transfer (automatic),0,0
46,43,Male,31,Month-to-month,60.43,22,Electronic check,0,1
47,36,Male,36,Month-to-month,57.95,151,Credit card (automatic),2,0
48,40,Female,54,One year,40.73,128,Bank transfer (automatic),2,0
49,18,Female,21,Month-to-month,121.55,35,Bank transfer (automatic),0,1
50,58,Male,72,Two year,46.4,99,Bank transfer (automatic),0,0
51,37,Male,22,One year,,73,Credit card (automatic),3,0
52,23,Male,3,Month-to-month,78.2,53,Bank transfer (automatic),1,0
53,39,Female,19,Month-to-month,76.95,30,Electronic check,0,0
54,58,Male,72,One year,63.65,86,Credit card (automatic),0,0
55,61,Male,55,Two year,74.58,86,Electronic check,3,0
56,61,Female,52,Month-to-month,83.43,,Bank transfer (automatic),0,0
57,27,Female,40,One year,85.71,98,Electronic check,1,1
58,56,Female,47,Month-to-month,55.32,90,Credit card (automatic),0,0
59,42,Female,31,Two year,90.19,77,Electronic check,0,1
60,52,Female,28,One year,53.89,12,Bank transfer (automatic),1,0
61,61,Female,31,Two year,65.25,77,Credit card (automatic),1,0
62,86,Male,43,Month-to-month,54.79,88,Bank transfer (automatic),3,1
63,18,Female,32,One year,73.66,46,Bank transfer (automatic),0,0
64,51,Male,54,Month-to-month,64.89,94,Bank transfer (automatic),0,0
65,71,Male,29,Two year,44.68,78,Electronic check,0,0
66,59,Female,40,Two year,104.76,75,Electronic check,3,0
67,67,Female,56,,74.35,362.2186853807489,Bank transfer (automatic),0,0
68,22,Male,36,Month-to-month,85.01,26,Credit card (automatic),0,0
69,18,Male,16,One year,,77,Electronic check,0,0
70,46,Male,,Month-to-month,95.73,61,Electronic check,0,1
71,74,Male,46,One year,70.85,109,Credit card (automatic),0,0
72,53,Female,13,Two year,91.2,31,Bank transfer (automatic),0,0
73,48,Male,53,Month-to-month,37.32,84,Credit card (automatic),2,1
74,19,Male,10,Month-to-month,,73,Bank transfer (automatic),4,1
75,35,Female,30,Two year,55.32,59,Electronic check,0,0
76,43,Male,24,Month-to-month,76.85,,Credit card (automatic),,0
77,41,Non-binary,37,Two year,65.8,92,Credit card (automatic),0,0
78,,Male,17,Two year,62.08,80,Bank transfer (automatic),0,0
79,43,Male,15,Month-to-month,71.11,42,Bank transfer (automatic),2,0
80,28,Male,28,Month-to-month,55.15,69,Credit card (automatic),2,1
81,39,Female,24,One year,,117,Electronic check,0,0
82,75,Female,40,One year,61.31,118,Electronic check,1,0
83,62,Female,,Two year,102.12,94,Bank transfer (automatic),0,0
84,,Female,42,Two year,44.74,45,,0,0
85,31,Female,72,Two year,81.04,80,Electronic check,0,1
86,48,Female,38,Two year,37.94,68,Electronic check,0,0
87,41,Female,23,One year,51.96,54,Electronic check,1,0
88,19,Male,26,Month-to-month,81.88,111,Credit card (automatic),1,0
89,,Male,44,Two year,92.09,97,Credit card (automatic),2,0
90,49,Female,,Month-to-month,70.06,156,Credit card (automatic),0,0
91,51,Non-binary,53,Month-to-month,33.78,105,Bank transfer (automatic),2,0
92,50,Male,26,Two year,96.65,63,Electronic check,0,1
93,38,Male,72,,85.68,,Bank transfer (automatic),2,1
94,40,Female,52,One year,44.7,73,Electronic check,2,0
95,18,Female,44,Month-to-month,62.41,15,Bank transfer (automatic),0,1
96,30,Female,65,One year,48.13,119,Electronic check,3,0
97,51,Female,,Month-to-month,110.43,13,Bank transfer (automatic),0,1
98,38,Male,25,One year,65.73,60,Credit card (automatic),1,0
99,63,Male,39,Two year,,29,Credit card (automatic),0,0
100,19,Male,1,Month-to-month,69.32,97,Bank transfer (automatic),5,0
101,75,Female,,Two year,62.9,118,Credit card (automatic),0,0
102,53,Male,23,One year,58.07,64,Bank transfer (automatic),0,0
103,24,Male,29,Month-to-month,86.79,95,Bank transfer (automatic),2,0
104,48,Female,42,Two year,66.8,67,Electronic check,1,0
105,72,Female,28,Two year,43.34,83,Bank transfer (automatic),0,1
106,49,Male,42,One year,44.65,,Electronic check,0,0
107,38,Male,24,Month-to-month,95.29,52,Credit card (automatic),0,0
108,48,Male,18,,70.79,94,Credit card (automatic),0,0
109,26,Female,19,Two year,58.26,109,Electronic check,1,0
110,43,Female,14,Two year,56.05,41,Bank transfer (automatic),3,1
111,50,Female,9,One year,51.97,38,Bank transfer (automatic),0,0
112,46,Male,31,Month-to-month,86.53,78,Credit card (automatic),0,0
113,66,Female,71,Two year,25.78,83,Bank transfer (automatic),0,0
114,18,Male,35,Two year,49.98,69,Bank transfer (automatic),0,0
115,52,Female,36,Month-to-month,75,96,Electronic check,0,1
116,75,Male,,Month-to-month,55.39,17,Credit card (automatic),0,0
117,18,Male,31,Two year,59.96,87,Credit card (automatic),1,0
118,69,Male,45,Two year,48.23,152,Credit card (automatic),0,0
119,47,Male,22,One year,45.1,116,Credit card (automatic),0,0
120,52,Male,49,One year,88.99,88,Bank transfer (automatic),0,0
121,43,Non-binary,57,Month-to-month,62.38,46,Electronic check,3,1
122,63,Female,43,Month-to-month,42.08,62,Bank transfer (automatic),,0
123,27,Female,72,Two year,102.78,57,Bank transfer (automatic),3,0
124,25,Male,57,One year,79.96,82,Bank transfer (automatic),0,0
125,53,Female,60,One year,58.72,180,Bank transfer (automatic),0,0
126,41,Male,42,Two year,,142,Electronic check,3,0
